stopID,entryUpdateTime,stopTime,stopDuration,stopInResponseToCFS,street,intersection,PID,perceivedRace,perceivedDisability,perceivedLimitedEnglish,perceivedAge,perceivedGender,perceivedLgbt,genderNonconforming,contrabandOrEvidenceDiscovered,actionTakens,personSearchGiven,propertySearchGiven,basisForSearch,basisForSearchExplanation,reasonForStop,reasonForStopDetail,reasonForStopExplanation,resultOfStop
5743,1/1/2023 23:56,1/1/2023 23:40,15,FALSE,grant,fremont,1, White, None,TRUE,30,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, drver side headlight out, Citation for infraction
5744,1/2/2023 2:50,1/2/2023 2:35,10,FALSE,fremont,grant,1, White, None,FALSE,23,Male,Yes,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, no tail lights on at night, Warning (verbal or written)
5745,1/2/2023 2:52,1/1/2023 22:30,35,FALSE,EL CAMINO REAL,,1, White, Mental health condition,FALSE,70,Female,No,FALSE, None, None,,,, , Investigation to determine whether the person was truant, , SUBJECT ASKED SOMEONE TO CALL 911 DUE TO A FACIAL INJURY.  A RECORDS CHECK REVEALED A $5K WARRANT FOR THE SUBJECT THAT MATCHED DRIVER'S LICENSE AND PHYSICAL DESCRIPTORS., Custodial Arrest pursuant to outstanding warrant
5746,1/2/2023 3:55,1/2/2023 3:52,5,FALSE,campbell,cuesta,1, White, None,FALSE,30,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, lic light, Warning (verbal or written)
5747,1/2/2023 10:51,1/2/2023 10:50,7,FALSE,el camino real,ortega ave,1, Hispanic/Latino/a, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", right brake light out, Warning (verbal or written)
5748,1/2/2023 14:12,1/2/2023 13:50,8,FALSE,El Camino real ,Distel,1, Hispanic/Latino/a, None,TRUE,45,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Brake light out, Citation for infraction
5749,1/2/2023 15:19,1/2/2023 15:10,6,FALSE,el monte,foothill expwy,1, Hispanic/Latino/a, None,TRUE,25,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", exp. reg., Warning (verbal or written)
5750,1/3/2023 9:38,1/3/2023 9:20,17,FALSE,Fremont,,1, Hispanic/Latino/a, Deafness or difficulty hearing,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 53mph in a 25mph senior citizen zone, Citation for infraction
5751,1/3/2023 10:15,1/3/2023 9:45,30,FALSE,Magdalena ,,1, White, None,FALSE,20,Male,No,FALSE, None, Person removed from vehicle by order; Search of person was conducted,,, Condition of parole / probation/ PRCS / mandatory supervision, , Traffic Violation, Moving Violation, Driving 87mph in a 45mph zone, Citation for infraction
5752,1/3/2023 10:34,1/3/2023 10:20,8,FALSE,el camino real,grant rd,1, Black/African American, None,FALSE,50,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", exp reg, Citation for infraction
