LEARecordID,ORI,BatchID,TX_Type,Is_NFIA,SDate,STime,SDur,Is_ServCall,AT,Loc,City,PID,Ethn,Gend,GendNC,LGBT,Age,Is_LimEng,Disb,Is_Stud,StReas,Tr_ID,Act_CD,BasSearch_N,StReas_Given,PropType,Cb,ResCD
671625,CA0431100,,I,N,11/18/2022,17:50,15,N,"Patrol, traffic, field operations",500 Block Villa Street,Mountain View,1,Asian,Male,,N,30,N,,,Traffic Violation,Moving,No Action Taken,,,,,Citation for infraction
671638,CA0431100,,I,N,11/18/2022,18:00,15,N,"Patrol, traffic, field operations",500 Block Villa Street,MOUNTAIN VIEW,1,Asian,Male,,N,20,N,,,Traffic Violation,Moving,No Action Taken,,,,,Citation for infraction
671756,CA0431100,,I,N,11/21/2022,18:15,15,N,"Patrol, traffic, field operations",1600 california street,MOUNTAIN VIEW,1,Hispanic/Latino(a),Male,,N,20,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Citation for infraction
671763,CA0431100,,I,N,12/5/2022,17:40,15,N,"Patrol, traffic, field operations",2100 Block California Street,Mountain View,1,White,Male,,N,20,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Citation for infraction
671774,CA0431100,,I,N,12/5/2022,18:05,10,N,"Patrol, traffic, field operations",2400 Block West El Camino Real,Mountain View,1,Hispanic/Latino(a),Female,,N,20,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Citation for infraction
641799,CA0431100,,I,N,2/2/2023,1:40,60,N,"Patrol, traffic, field operations",500 Block Showers Drive,Mountain View,1,White,Female,,N,32,N,,,Known to be on Parole / Probation / PRCS / Mandatory Supervision,,Curbside detention,,,,"Drug Paraphernalia,Drugs/narcotics",In-field cite and release
641794,CA0431100,,I,N,2/17/2023,0:11,60,Y,"Patrol, traffic, field operations",100 Block East El Camino Real,Mountain View,1,Hispanic/Latino(a),Male,,N,23,N,,,Reasonable suspicion that the person was engaged in criminal activity,,No Action Taken,,,,,In-field cite and release
641791,CA0431100,,I,N,2/22/2023,22:09,30,Y,"Patrol, traffic, field operations",700 Block East El Camino Real,Mountain View,1,Hispanic/Latino(a),Male,,N,36,N,,,Consensual Encounter resulting in a search,, Search of person was conducted ,Searched subject after detained for 5150,,,,Psychiatric hold  (Welfare & Institutions Code sections 5150 and/or 5585.20)
641773,CA0431100,,I,N,2/25/2023,22:11,30,N,"Patrol, traffic, field operations",400 Block Castro Street,Mountain View,1,Asian,Male,,N,33,N,,,Consensual Encounter resulting in a search,," Search of person was conducted ,Search of property was conducted,Property was seized",,"Contraband,Evidence",Drug Paraphernalia,Drug Paraphernalia,In-field cite and release
641777,CA0431100,,I,N,2/25/2023,16:38,30,Y,"Patrol, traffic, field operations",100 Block East El Camino Real,Mountain View,1,White,Male,,N,36,N,,,Reasonable suspicion that the person was engaged in criminal activity,,No Action Taken,,,,,In-field cite and release
641788,CA0431100,,I,N,2/25/2023,15:40,30,N,"Patrol, traffic, field operations",600 Block Franklin Street,Mountain View,1,Black/African American,Female,,N,59,N,,,Knowledge of outstanding arrest warrant/wanted person,,No Action Taken,,,,,In-field cite and release
641760,CA0431100,,I,N,3/21/2023,22:36,120,Y,"Patrol, traffic, field operations",1000 Block Space Park Way,Mountain View,1,Hispanic/Latino(a),Male,,N,32,N,,,Reasonable suspicion that the person was engaged in criminal activity,,No Action Taken,,,,,Custodial arrest without warrant
641752,CA0431100,,I,N,4/12/2023,21:00,60,Y,"Patrol, traffic, field operations",500 Block San Antonio Road,Mountain View,1,Black/African American,Male,,N,55,N,,,Reasonable suspicion that the person was engaged in criminal activity,,No Action Taken,,,,,In-field cite and release
641748,CA0431100,,I,N,4/18/2023,0:56,60,N,"Patrol, traffic, field operations",2400 Block West El Camino Real,Mountain View,1,Hispanic/Latino(a),Male,,N,45,N,,,Traffic Violation,Equipment,Person removed from vehicle by order,,,,,In-field cite and release
667533,CA0431100,,I,N,4/19/2023,15:20,5,N,"Patrol, traffic, field operations",0-100 Block West El Camino Real,Mountain View,1,White,Male,,N,30,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Citation for infraction
667534,CA0431100,,I,N,4/19/2023,17:52,5,N,"Patrol, traffic, field operations",Villa Street,Mountain View,1,White,Male,,N,40,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Citation for infraction
667536,CA0431100,,I,N,4/26/2023,19:15,5,N,"Patrol, traffic, field operations",Rengstorff Avenue,Mountain View,1,Middle Eastern or South Asian,Female,,N,40,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Citation for infraction
667542,CA0431100,,I,N,4/26/2023,23:14,5,Y,"Patrol, traffic, field operations",West El Camino Real & Escuela Avenue,Mountain View,1,Hispanic/Latino(a),Male,,N,30,N,,,Traffic Violation,Non-moving,No Action Taken,,,,,Citation for infraction
667546,CA0431100,,I,N,5/9/2023,16:39,5,N,"Patrol, traffic, field operations",California Street & South Shoreline Boulevard,Mountain View,1,Hispanic/Latino(a),Male,,N,20,N,,,Traffic Violation,Moving,No Action Taken,,,,,Citation for infraction
667548,CA0431100,,I,N,5/10/2023,23:28,5,N,"Patrol, traffic, field operations",Bryant Street & West Evelyn Avenue,Mountain View,1,Hispanic/Latino(a),Male,,N,20,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Citation for infraction
667551,CA0431100,,I,N,5/11/2023,0:25,5,N,"Patrol, traffic, field operations",West Middlefield Road & North Shoreline Boulevard,Mountain View,1,Asian,Male,,N,50,N,,,Traffic Violation,Moving,No Action Taken,,,,,Citation for infraction
673250,CA0431100,,I,N,5/11/2023,22:30,5,N,"Patrol, traffic, field operations",2400 Block Charleston Road,Mountain View,1,Black/African American,Male,,N,23,N,,,Reasonable suspicion that the person was engaged in criminal activity,,"Handcuffed or flex cuffed, Search of person was conducted ,Search of property was conducted,Property was seized",He was arrested for an outstanding warrant and he there were narcotics located near him.,"Contraband,Evidence",Drugs/narcotics,Drugs/narcotics,"Custodial arrest without warrant,Custodial arrest pursuant to outstanding warrant"
673250,CA0431100,,I,N,5/11/2023,22:30,5,N,"Patrol, traffic, field operations",2400 Block Charleston Road,Mountain View,2,Black/African American,Male,,N,18,N,,,Reasonable suspicion that the person was engaged in criminal activity,," Search of person was conducted ,Search of property was conducted,Property was seized",Suspect was searched after being arrested and his car was searched as well.,"Contraband,Evidence",Drugs/narcotics,Drugs/narcotics,Custodial arrest without warrant
673250,CA0431100,,I,N,5/11/2023,22:30,5,N,"Patrol, traffic, field operations",2400 Block Charleston Road,Mountain View,3,Black/African American,Male,,N,21,N,,,Reasonable suspicion that the person was engaged in criminal activity,," Search of person was conducted ,Search of property was conducted,Property was seized",Suspect was searched because he was arrested for narcotics sales.,"Contraband,Evidence",Drugs/narcotics,Drugs/narcotics,Custodial arrest without warrant
667555,CA0431100,,I,N,5/16/2023,20:32,5,N,"Patrol, traffic, field operations",North Shoreline Boulevard & West Middlefield Road,Mountain View,1,Asian,Male,,N,50,N,,,Traffic Violation,Moving,No Action Taken,,,,,Citation for infraction
